معرف_الخطاب,التاريخ,الجهة,العنوان,نص_الخطاب,تصنيف_السريّة
KSA-LTR-251024-0001,2025-10-24,وزارة الداخلية,تعميم سياسات الاستخدام المسؤول للقنوات الرسمية,لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. سيتاح البث المباشر عبر المنصات الرسمية لضمان وصول واسع. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي.,غير_سري
KSA-LTR-250919-0002,2025-09-19,وزارة الدفاع,دعوة للمشاركة في ملتقى الابتكار,سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. لا يحتوي هذا الخطاب على أي بيانات شخصية أو معلومات تشغيلية حساسة. سيتم التقاط صور عامة للفعالية بما يتوافق مع السياسات. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة.,غير_سري
KSA-LTR-251015-0003,2025-10-15,وزارة الطاقة,خطة استجابة طوارئ داخلية غير للتداول,[للاستخدام الداخلي فقط] يحتوي الخطاب على تحليلات حساسة وسيناريوهات استجابة لاستخدام داخلي. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. تتطرق المذكرة إلى عرض مالي أولي لأحد العقود قبل الطرح العام. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. المعلومات الواردة قد تؤثر على سلامة العمليات أو الأسواق في حال نشرها للعموم. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يتضمن المستند تفاصيل عملياتية وإجراءات داخلية وبيانات غير منشورة.,سري
KSA-LTR-250929-0004,2025-09-29,وزارة التعليم,نشرة توعوية مفتوحة للجمهور,نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. يهدف إلى رفع الوعي وتسهيل التواصل مع المجتمع. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. يرجى إعادة نشر التفاصيل عبر القنوات الإعلامية المعتمدة لضمان الوصول إلى الجمهور. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. يتوافر خط مساند للرد على الاستفسارات العامة. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية.,غير_سري
KSA-LTR-250903-0005,2025-09-03,وزارة الصحة,تهنئة بإنجاز ضمن برنامج الرؤية,يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. سيتم التقاط صور عامة للفعالية بما يتوافق مع السياسات. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. يتوافر خط مساند للرد على الاستفسارات العامة. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث.,غير_سري
KSA-LTR-251101-0006,2025-11-01,وزارة المالية,خطة استجابة طوارئ داخلية غير للتداول,يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يجب تشفير أي مرفقات وإرسالها عبر قنوات آمنة وفق سياسات الأمن المعتمدة. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. ترد في الوثيقة تعليمات تفصيلية لإجراءات الاستجابة ضمن نافذة زمنية حرجة. هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود.,سري
KSA-LTR-251014-0007,2025-10-14,وزارة النقل والخدمات اللوجستية,نشرة توعوية مفتوحة للجمهور,يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. لا يتضمن هذا الخطاب أي التزامات مالية أو تعهدات رسمية. هذا الخطاب متاح للعامة وفق سياسات التواصل المعتمدة. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث.,غير_سري
KSA-LTR-250925-0008,2025-09-25,وزارة الشؤون البلدية والقروية والإسكان,إشعار صيانة دورية للخدمات,يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. يتوافر خط مساند للرد على الاستفسارات العامة. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. يحق للمدعوين مشاركة المواد باستثناء المحتوى المملوك لطرف ثالث. يمكن مشاركة المحتوى كاملاً بعد التأكد من دقة المعلومات المنشورة. القائمة المبدئية للمتحدثين ستُعلن عبر البيان الصحفي. سيتضمن اللقاء كلمات من مختصين وعرضًا عامًا للنتائج دون أي مواد سرية. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. سيتم نشر نسخة من العرض التقديمي على موقع الجهة بعد انتهاء الفعالية. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه.,غير_سري
KSA-LTR-251012-0009,2025-10-12,وزارة الاستثمار,دعوة لحضور ورشة عمل عامة حول التحول الرقمي,يهدف هذا الخطاب إلى مشاركة معلومات عامة قابلة للنشر لدعم الشفافية ومشاركة المعرفة. سيتم التقاط صور عامة للفعالية بما يتوافق مع السياسات. نرفق جدولًا زمنيًا أوليًا قابلًا للتعديل وسيتم تحديثه دوريًا. يهدف إلى رفع الوعي وتسهيل التواصل مع المجتمع. نرحب بحضور جميع الجهات المعنية، وسيتم إتاحة التسجيل عبر البوابة الرسمية. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر. سيجري جمع تعقيبات الحضور عبر استبيان مفتوح بعد الحدث. يرجى إعادة نشر التفاصيل عبر القنوات الإعلامية المعتمدة لضمان الوصول إلى الجمهور. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يأتي هذا ضمن مبادرات موجهة للمجتمع ويجوز الاقتباس من محتواه. يمكن للمشاركين الحصول على شهادة حضور إلكترونية. يُراعى التقيد بإرشادات الهوية البصرية الرسمية عند النشر.,غير_سري
KSA-LTR-251002-0010,2025-10-02,وزارة الثقافة,خطة استجابة طوارئ داخلية غير للتداول,هذا الخطاب خاضع لسياسات السرية: سري/سري للغاية/سري محدود. تتضمن الخطة عتبات تنبيه ومؤشرات اختراق يُحظر تعميمها. يُمنع الإدلاء بأي تصريحات حول محتوى هذا الخطاب قبل الحصول على موافقة خطية. تتعلق التفاصيل بترقيع ثغرات حرجة تم تحديدها عبر مركز العمليات الأمنية. يُحظر النسخ أو التصوير ويقتصر الاطلاع على الأشخاص المخولين فقط. يشمل المستند خطوطًا زمنية تقديرية لتبديل مفاتيح تشفير قديمة وإدارة الشهادات. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. تضمن التقييم سيناريوهات محاكاة لهجمات حجب الخدمة وخطط الاستمرارية. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يتناول الخطاب آلية توريد بديلة لمكونات حساسة في سلسلة الإمداد. يجب تسجيل كل عملية وصول إلى هذا الملف وإثبات هوية المستخدم. يوجد تأكيد على تطبيق مبدأ أقل صلاحية وتتبع الامتثال عبر سجلات مركزية. يحمل هذا الخطاب تصنيفًا سريًا ولا يجوز تداوله خارج النطاق المحدد. يرد ذكر توزيع الأدوار بين الفرق المعنية للتعامل مع حالات الطوارئ.,سري
